id,text,theme,polarity,theme_starts,theme_ends,polarity_id
g187077-d2250282-r285122402,Excellent restaurant a tout point de vue le service la patronne très agréable les plats excellents le vin très bon !,plats,positive,82,87,2
g187077-d2250282-r285122402,Excellent restaurant a tout point de vue le service la patronne très agréable les plats excellents le vin très bon !,vin,positive,102,105,2
g187077-d2250282-r285122402,Touristes de passage dans le coin nous y reviendrons sans hésiter une prochaine fois un des meilleurs restaurants fait depuis longtemps,restaurants,positive,102,113,2
g187077-d3912314-r240787952,"Bar tapas le soir, décoration changeante et parfois approximative.",décoration,neutral,19,29,0
g187077-d3912314-r240787952,"Les vins sont bons mais pas excellent, les tapas quand il y en a encore sont bonnes, heureusement que le personnel est sympathique.",vins,neutral,4,8,0
g187077-d3912314-r240787952,"Les vins sont bons mais pas excellent, les tapas quand il y en a encore sont bonnes, heureusement que le personnel est sympathique.",tapas,positive,43,48,2
g187077-d3912314-r240787952,"Les vins sont bons mais pas excellent, les tapas quand il y en a encore sont bonnes, heureusement que le personnel est sympathique.",tapas,negative,43,48,1
g187077-d3912314-r240787952,"Les vins sont bons mais pas excellent, les tapas quand il y en a encore sont bonnes, heureusement que le personnel est sympathique.",personnel,positive,105,114,2
g187077-d3984325-r265548233,La déco pourrait être revisité mais l'accueil est bon la prise de commande est rapide et très souriante.,déco,negative,3,7,1
g187077-d3984325-r265548233,La déco pourrait être revisité mais l'accueil est bon la prise de commande est rapide et très souriante.,accueil,positive,38,45,2
g187077-d3984325-r265548233,Les plats sont classiques mais corrects avec un prix qui l'est aussi.Vient ensuite l'ambiance musicale qui correspond à l'idée que l'on se fait de ses endroits .,plats,neutral,4,9,0
g187077-d3984325-r265548233,Les plats sont classiques mais corrects avec un prix qui l'est aussi.Vient ensuite l'ambiance musicale qui correspond à l'idée que l'on se fait de ses endroits .,plats,neutral,4,9,0
g187077-d3984325-r265548233,Les plats sont classiques mais corrects avec un prix qui l'est aussi.Vient ensuite l'ambiance musicale qui correspond à l'idée que l'on se fait de ses endroits .,plats,neutral,4,9,0
g187077-d3984325-r265548233,Les plats sont classiques mais corrects avec un prix qui l'est aussi.Vient ensuite l'ambiance musicale qui correspond à l'idée que l'on se fait de ses endroits .,ambiance musicale,neutral,85,102,0
g187077-d3984325-r265548233,Bonne soirée passé dans ce lieu,lieu,positive,27,31,2
g187079-d3590623-r272464202,"Viande de boeuf façon chewing gum, frites couleur marron foncé molles et baignant encore dans leur huile.",Viande de boeuf,negative,0,15,1
g187079-d3590623-r272464202,"Viande de boeuf façon chewing gum, frites couleur marron foncé molles et baignant encore dans leur huile.",frites,negative,35,41,1
g187079-d3590623-r272464202,Service austère.,Service,negative,0,7,1
g187079-d3724139-r275447636,"Ensuite, viande pas cuite et frites molles .... ( malade le lendemain)",viande,negative,9,15,1
g187079-d3724139-r275447636,"Ensuite, viande pas cuite et frites molles .... ( malade le lendemain)",frites,negative,29,35,1
g187079-d817721-r260340034,"La carte est originale et attractive et les produits de qualité, malheureusement la note est bien trop salée par rapport à l'expérience délivrée.",carte,positive,3,8,2
g187079-d817721-r260340034,"La carte est originale et attractive et les produits de qualité, malheureusement la note est bien trop salée par rapport à l'expérience délivrée.",produits,positive,44,52,2
g187079-d817721-r260340034,En effet l'accueil plutôt lourd laisse place à un service manquant d'enthousisame et de sourire.,accueil,negative,11,18,1
g187079-d817721-r260340034,En effet l'accueil plutôt lourd laisse place à un service manquant d'enthousisame et de sourire.,service,negative,50,57,1
g187079-d817721-r260340034,"Les plats sont très bons, bien cuisinés et présentés mais les tarifs des vins sont plutôt élevés et au final, la note s'avère en décalage avec l'expérience vécue (plus de 100€ à deux pour 1 entrée/2 plats/1 dessert avec vin et café), dans une ambiance vintage/rustique plutôt réussie, mais gâchée par une musique pop/variét sans lien avec la cadre et le concept, diffusée un peu trop fort pour un restaurant ou l'on souhaite passer un moment de calme et de détente.",plats,positive,4,9,2
g187079-d817721-r260340034,"Les plats sont très bons, bien cuisinés et présentés mais les tarifs des vins sont plutôt élevés et au final, la note s'avère en décalage avec l'expérience vécue (plus de 100€ à deux pour 1 entrée/2 plats/1 dessert avec vin et café), dans une ambiance vintage/rustique plutôt réussie, mais gâchée par une musique pop/variét sans lien avec la cadre et le concept, diffusée un peu trop fort pour un restaurant ou l'on souhaite passer un moment de calme et de détente.",vins,negative,73,77,1
g187079-d817721-r260340034,"Les plats sont très bons, bien cuisinés et présentés mais les tarifs des vins sont plutôt élevés et au final, la note s'avère en décalage avec l'expérience vécue (plus de 100€ à deux pour 1 entrée/2 plats/1 dessert avec vin et café), dans une ambiance vintage/rustique plutôt réussie, mais gâchée par une musique pop/variét sans lien avec la cadre et le concept, diffusée un peu trop fort pour un restaurant ou l'on souhaite passer un moment de calme et de détente.",ambiance,positive,243,251,2
g187079-d817721-r260340034,"Les plats sont très bons, bien cuisinés et présentés mais les tarifs des vins sont plutôt élevés et au final, la note s'avère en décalage avec l'expérience vécue (plus de 100€ à deux pour 1 entrée/2 plats/1 dessert avec vin et café), dans une ambiance vintage/rustique plutôt réussie, mais gâchée par une musique pop/variét sans lien avec la cadre et le concept, diffusée un peu trop fort pour un restaurant ou l'on souhaite passer un moment de calme et de détente.",musique,negative,305,312,1
g187079-d817721-r260340034,"Les plats sont très bons, bien cuisinés et présentés mais les tarifs des vins sont plutôt élevés et au final, la note s'avère en décalage avec l'expérience vécue (plus de 100€ à deux pour 1 entrée/2 plats/1 dessert avec vin et café), dans une ambiance vintage/rustique plutôt réussie, mais gâchée par une musique pop/variét sans lien avec la cadre et le concept, diffusée un peu trop fort pour un restaurant ou l'on souhaite passer un moment de calme et de détente.",plats,positive,4,9,2
g187079-d817721-r280565787,"Amateur de fromage, lorsque je suis descendu dans la cave à fromage, en accés illimité, avec plus de 200 fromages à goûter, je me suis cru au paradis pour 32€.",cave à fromage,positive,53,67,2
g187079-d817721-r280565787,"Ajouter à cela une binne salade aux noix et du pain au figues, au lardons et j'en passe, plus un service sympa, j'ai passé un excellent moment à chaque passage ici (ma 1ère visite en a appelé d'autres).",salade aux noix,positive,25,40,2
g187079-d817721-r280565787,"Ajouter à cela une binne salade aux noix et du pain au figues, au lardons et j'en passe, plus un service sympa, j'ai passé un excellent moment à chaque passage ici (ma 1ère visite en a appelé d'autres).",service,positive,97,104,2
g187079-d817721-r280565787,Possibilité de manger des plats à la carte sur la thématique du fromage.,plats,neutral,26,31,0
g187079-d817721-r280565787,Très belle cave à vin.,cave à vin,positive,11,21,2
g187079-d817721-r280565787,20/20 pour ce resto,resto,positive,14,19,2
g187087-d1054346-r272330658,Un restaurant pour une soirée étape très sympa avec une réception accueillante.,restaurant,positive,3,13,2
g187087-d1054346-r272330658,Un restaurant pour une soirée étape très sympa avec une réception accueillante.,réception,positive,56,65,2
g187087-d1068283-r209933922,"Nous étions cinq pour repas d'affaire tout c'est très bien passé nous avons tous trouvé nos plats excellents, nous reviendrons avec plaisir.",plats,positive,92,97,2
g187087-d3727373-r237692994,"Pain du buffet cramé, on nous dit que c'est normal...Une serveuse d'un certain âge très très désagréable et pressée de voir partir les clients, même pas fini l'entrée, on nous emmène le plat, et je ne vous dit pas les réflexions d'un gôut douteux.",Pain,negative,0,4,1
g187087-d3727373-r237692994,"Pain du buffet cramé, on nous dit que c'est normal...Une serveuse d'un certain âge très très désagréable et pressée de voir partir les clients, même pas fini l'entrée, on nous emmène le plat, et je ne vous dit pas les réflexions d'un gôut douteux.",serveuse,negative,57,65,1
g187091-d1325827-r240732814,Salle tres bruyante,Salle,negative,0,5,1
g187091-d1325827-r240732814,Serveuse très spécial,Serveuse,negative,0,8,1
g187091-d1325827-r240732814,"Repas très moyen pas de sauce même en n en demandant à la serveuse réponse de la serveuse ""ce soir c est la dèche """,Repas,negative,0,5,1
g187091-d1325827-r240732814,"Repas très moyen pas de sauce même en n en demandant à la serveuse réponse de la serveuse ""ce soir c est la dèche """,Repas,negative,0,5,1
g187091-d1325827-r240732814,"Repas très moyen pas de sauce même en n en demandant à la serveuse réponse de la serveuse ""ce soir c est la dèche """,serveuse,negative,81,89,1
g187091-d1325827-r240732814,Repas pas tres bien présenté,Repas,negative,0,5,1
g187091-d1327273-r194284231,"Service très très long, la patronne qui raconte sa vie alors que le restaurant est bondé et que tout le monde attend, des erreurs dans les plats, du bruit dans les cuisines, etc.",Service,negative,0,7,1
g187091-d1327273-r194284231,"Service très très long, la patronne qui raconte sa vie alors que le restaurant est bondé et que tout le monde attend, des erreurs dans les plats, du bruit dans les cuisines, etc.",patronne,negative,27,35,1
g187091-d1327273-r194284231,Nous nous sommes fait livrer plusieurs fois et nous n'avons jamais été déçus mais le service sur place est déplorable...,service,negative,85,92,1
g187091-d1327273-r194284231,Pourtant les plats sont bons et la déco sympa.,plats,positive,13,18,2
g187091-d1327273-r194284231,Pourtant les plats sont bons et la déco sympa.,déco,positive,35,39,2
g187091-d2221132-r263477843,"Menu complet de très bon rapport qualité/prix (produits proposés, cuisson et présentation des assiettes) et service rapide mais il faut améliorer quelques points pour être un bon restaurant : entretien des appareils sanitaires dans la ""salle d'eau"", chaleur de l'accueil et choix des vins proposés (je viens juste de voir sur tripadvisor qu'il s'agissait d'un bar à vins, je n'ai pas compris le concept alors)",Menu,positive,0,4,2
g187091-d2221132-r263477843,"Menu complet de très bon rapport qualité/prix (produits proposés, cuisson et présentation des assiettes) et service rapide mais il faut améliorer quelques points pour être un bon restaurant : entretien des appareils sanitaires dans la ""salle d'eau"", chaleur de l'accueil et choix des vins proposés (je viens juste de voir sur tripadvisor qu'il s'agissait d'un bar à vins, je n'ai pas compris le concept alors)",Menu,positive,0,4,2
g187091-d2221132-r263477843,"Menu complet de très bon rapport qualité/prix (produits proposés, cuisson et présentation des assiettes) et service rapide mais il faut améliorer quelques points pour être un bon restaurant : entretien des appareils sanitaires dans la ""salle d'eau"", chaleur de l'accueil et choix des vins proposés (je viens juste de voir sur tripadvisor qu'il s'agissait d'un bar à vins, je n'ai pas compris le concept alors)",produits,positive,47,55,2
g187091-d2221132-r263477843,"Menu complet de très bon rapport qualité/prix (produits proposés, cuisson et présentation des assiettes) et service rapide mais il faut améliorer quelques points pour être un bon restaurant : entretien des appareils sanitaires dans la ""salle d'eau"", chaleur de l'accueil et choix des vins proposés (je viens juste de voir sur tripadvisor qu'il s'agissait d'un bar à vins, je n'ai pas compris le concept alors)",assiettes,positive,94,103,2
g187091-d2221132-r263477843,"Menu complet de très bon rapport qualité/prix (produits proposés, cuisson et présentation des assiettes) et service rapide mais il faut améliorer quelques points pour être un bon restaurant : entretien des appareils sanitaires dans la ""salle d'eau"", chaleur de l'accueil et choix des vins proposés (je viens juste de voir sur tripadvisor qu'il s'agissait d'un bar à vins, je n'ai pas compris le concept alors)",service,positive,108,115,2
g187091-d2221132-r263477843,"Menu complet de très bon rapport qualité/prix (produits proposés, cuisson et présentation des assiettes) et service rapide mais il faut améliorer quelques points pour être un bon restaurant : entretien des appareils sanitaires dans la ""salle d'eau"", chaleur de l'accueil et choix des vins proposés (je viens juste de voir sur tripadvisor qu'il s'agissait d'un bar à vins, je n'ai pas compris le concept alors)",restaurant,negative,179,189,1
g187091-d2221132-r263477843,"Menu complet de très bon rapport qualité/prix (produits proposés, cuisson et présentation des assiettes) et service rapide mais il faut améliorer quelques points pour être un bon restaurant : entretien des appareils sanitaires dans la ""salle d'eau"", chaleur de l'accueil et choix des vins proposés (je viens juste de voir sur tripadvisor qu'il s'agissait d'un bar à vins, je n'ai pas compris le concept alors)",accueil,negative,263,270,1
g187091-d2221132-r263477843,"Menu complet de très bon rapport qualité/prix (produits proposés, cuisson et présentation des assiettes) et service rapide mais il faut améliorer quelques points pour être un bon restaurant : entretien des appareils sanitaires dans la ""salle d'eau"", chaleur de l'accueil et choix des vins proposés (je viens juste de voir sur tripadvisor qu'il s'agissait d'un bar à vins, je n'ai pas compris le concept alors)",vins,negative,284,288,1
g187091-d3464501-r235318144,"Petit restau suggéré par une amie, on ne regrette pas l''expérience !",restau,positive,6,12,2
g187091-d3464501-r235318144,"Produits frais, plats proposés en fonction de l'arrivage, menu concis mais plats extrêmement savoureux.",Produits,positive,0,8,2
g187091-d3464501-r235318144,"Produits frais, plats proposés en fonction de l'arrivage, menu concis mais plats extrêmement savoureux.",plats,positive,16,21,2
g187091-d3464501-r235318144,"Produits frais, plats proposés en fonction de l'arrivage, menu concis mais plats extrêmement savoureux.",menu,neutral,58,62,0
g187091-d3464501-r235318144,"Produits frais, plats proposés en fonction de l'arrivage, menu concis mais plats extrêmement savoureux.",plats,positive,75,80,2
g187091-d5025303-r276491720,"Vraiment une adresse à retenir pour les amateurs de viande , une entrecôte qui fond dans la bouche , une sauce simple mais goûteuses et un verre de vin de bonne qualité.",adresse,positive,13,20,2
g187091-d5025303-r276491720,"Vraiment une adresse à retenir pour les amateurs de viande , une entrecôte qui fond dans la bouche , une sauce simple mais goûteuses et un verre de vin de bonne qualité.",entrecôte,positive,65,74,2
g187091-d5025303-r276491720,"Vraiment une adresse à retenir pour les amateurs de viande , une entrecôte qui fond dans la bouche , une sauce simple mais goûteuses et un verre de vin de bonne qualité.",sauce,positive,105,110,2
g187091-d5025303-r276491720,"Vraiment une adresse à retenir pour les amateurs de viande , une entrecôte qui fond dans la bouche , une sauce simple mais goûteuses et un verre de vin de bonne qualité.",vin,positive,148,151,2
g187091-d5025303-r276491720,Vraiment je recommande chaudement cette adresse.,adresse,positive,40,47,2
g187095-d1872852-r270870454,Accueil et service sont agréables et efficaces,service,positive,11,18,2
g187095-d1872852-r270870454,Tous les plats sont bons avec une mention spéciale pour le cassoulet breton,cassoulet breton,positive,59,75,2
g187095-d1872852-r270870454,Tous les plats sont bons avec une mention spéciale pour le cassoulet breton,plats,positive,9,14,2
g187095-d1872852-r270870454,Restaurant bondé le midi mieux vaut arriver tôt,Restaurant,negative,0,10,1
g187095-d1954560-r227348486,"Accueil glacial, à peine installés et la carte en main que l'on vient prendre commande.",Accueil,negative,0,7,1
g187095-d1954560-r227348486,Je n'appelle pas ça un service digne d'un restaurants.,service,negative,23,30,1
g187095-d1954560-r227348486,Une viande qui n'est pas cuite comme à notre demande : saignante et non à point comme demandé.,viande,negative,4,10,1
g187095-d1954560-r227348486,Départ aussi désagréable que l'accueil.,accueil,negative,31,38,1
g187095-d1954560-r227348486,Départ aussi désagréable que l'accueil.,Départ,negative,0,6,1
g187095-d1954560-r227348486,Déçus de notre soirée car j'ai connu cette taverne sous de meilleurs jours.,taverne,negative,43,50,1
g187095-d1954560-r227348486,Beaucoup trop onéreux pour la qualité des plats.,plats,negative,42,47,1
g187095-d1954560-r227348486,Un rapport qualité/prix qui se passe donc de commentaire.,qualité/prix,neutral,11,23,0
g187095-d2489564-r275289811,"Nous avons rarement mangé des pizza aussi médiocres... pas cuites, mal garnies,...",pizza,negative,30,35,1
g187095-d3747513-r268495052,Très bon restaurant .Repas effectué le midi en groupe,restaurant,positive,9,19,2
g187095-d3747513-r268495052,"Service assez rapide vu le nombre de table,assiette bien remplie,personnel sympa choix suffisant",Service,positive,0,7,2
g187095-d3747513-r268495052,"Service assez rapide vu le nombre de table,assiette bien remplie,personnel sympa choix suffisant",assiette,positive,43,51,2
g187095-d3747513-r268495052,"Service assez rapide vu le nombre de table,assiette bien remplie,personnel sympa choix suffisant",personnel,positive,65,74,2
g187095-d3747513-r268495052,Un resto très sympa,resto,positive,3,8,2
g187103-d1327074-r281100867,endroit décontracté simple.,endroit,positive,0,7,2
g187103-d1327074-r281100867,très bonne paella ( pour les connaisseurs ) oui grillée dans le fond comme à Barcelone,paella,positive,11,17,2
g187103-d1327074-r281100867,tapas copieuses et bonnes,tapas,positive,0,5,2
g187103-d1327074-r281100867,tapas copieuses et bonnes,tapas,positive,0,5,2
g187103-d1327074-r281100867,viandes excellentes pour les amateurs,viandes,positive,0,7,2
g187103-d1327074-r281100867,patron atypique mais à connaître.,patron,positive,0,6,2
g187103-d2329304-r282963974,"1ère fois que le service n'est pas à la hauteur de la cuisine dans les restos que je fréquente à Rennes, dommage.",service,negative,17,24,1
g187103-d2329304-r282963974,"Carte des vins sympa, on me refuse de corriger le tir sur un verre de vin servi plus généreusement précédemment (à 5,90€ le verre, le comportement du patron (?) est décevant).",Carte des vins,negative,0,14,1
g187103-d2329304-r282963974,"Carte des vins sympa, on me refuse de corriger le tir sur un verre de vin servi plus généreusement précédemment (à 5,90€ le verre, le comportement du patron (?) est décevant).",patron,negative,150,156,1
g187103-d2329304-r282963974,"Carte des vins sympa, on me refuse de corriger le tir sur un verre de vin servi plus généreusement précédemment (à 5,90€ le verre, le comportement du patron (?) est décevant).",verre de vin,negative,61,73,1
g187103-d2329304-r282963974,"Carte des vins sympa, on me refuse de corriger le tir sur un verre de vin servi plus généreusement précédemment (à 5,90€ le verre, le comportement du patron (?) est décevant).",verre de vin,negative,61,73,1
g187103-d2329304-r282963974,"La viande est bonne, bien cuite comme demandé.",viande,positive,3,9,2
